                                       ,                    Date                  ,                    Versus                  ,                    Ground                  ,                    D/N*                  ,                    How Dismissed                  ,                    Runs                  ,                    B/F                  ,                    S/R                  ,                    Aggr                  ,                    Avg                  ,                Cumulative    S/R                  
143,21/05/2016,                    Kings XI Punjab                  ,                    Dr YS Rajasekhara Reddy Cricket Stadium                  ,                    &check;                  ,                    not out                  ,                    64*                  ,32,200,3271,39.41,138.95
144,6/4/2017,                    Mumbai Indians                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    12*                  ,12,100,3283,39.55,138.76
145,8/4/2017,                    Kings XI Punjab                  ,                    Holkar Cricket Stadium                  ,                    &check;                  ,                    c & b Swapnil Singh                  ,5,11,45.45,3288,39.14,138.33
146,11/4/2017,                    Delhi Capitals                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c K K Nair b A Mishra                  ,11,14,78.57,3299,38.81,137.98
147,14/04/2017,                    Gujarat Lions                  ,                    Saurashtra Cricket Association Stadium                  ,                    &check;                  ,                    lbw b R A Jadeja                  ,5,8,62.5,3304,38.42,137.72
148,16/04/2017,                    Royal Challengers Bangalore                  ,                    M Chinnaswamy Stadium                  ,                    &check;                  ,                    b S R Watson                  ,28,25,112,3332,38.3,137.46
149,22/04/2017,                    Sunrisers Hyderabad                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    61*                  ,34,179.41,3393,39,138.04
150,24/04/2017,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    b J J Bumrah                  ,7,11,63.64,3400,38.64,137.71
151,26/04/2017,                    Kolkata Knight Riders                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    st R V Uthappa b Kuldeep Yadav                  ,23,11,209.09,3423,38.46,138.02
152,29/04/2017,                    Royal Challengers Bangalore                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    not out                  ,                    21*                  ,17,123.53,3444,38.7,137.93
153,1/5/2017,                    Gujarat Lions                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    c B B McCullum b Basil Thampi                  ,26,33,78.79,3470,38.56,137.15
154,3/5/2017,                    Kolkata Knight Riders                  ,                    Eden Gardens                  ,                    &check;                  ,                    c †S P  Jackson b Kuldeep Yadav                  ,5,9,55.56,3475,38.19,136.86
155,6/5/2017,                    Sunrisers Hyderabad                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    c †N V Ojha b S Kaul                  ,31,21,147.62,3506,38.11,136.95
156,12/5/2017,                    Delhi Capitals                  ,                    Arun Jaitley Stadium                  ,                    &check;                  ,                    run out                  ,5,5,100,3511,37.75,136.88
157,14/05/2017,                    Kings XI Punjab                  ,                    Maharashtra Cricket Association Stadium                  ,                    &check;                  ,                    did not bat                  ,                    -                  ,-                  ,-                  ,3511,37.75,136.88
158,16/05/2017,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    not out                  ,                    40*                  ,26,153.85,3551,38.18,137.05
159,21/05/2017,                    Mumbai Indians                  ,                    Rajiv Gandhi International Stadium                  ,                    &check;                  ,                    c †P A Patel b J J Bumrah                  ,10,13,76.92,3561,37.88,136.75
160,7/4/2018,                    Mumbai Indians                  ,                    Wankhede Stadium                  ,                    &check;                  ,                    lbw b M Markande                  ,5,5,100,3566,37.54,136.68
161,10/4/2018,                    Kolkata Knight Riders                  ,                    MA Chidambaram Stadium                  ,                    &check;                  ,                    c †K D Karthik b P P Chawla                  ,25,28,89.29,3591,37.41,136.18
162,15/04/2018,                    Kings XI Punjab                  ,                    Punjab Cricket Association IS Bindra Stadium                  ,                    &check;                  ,                    not out                  ,                    79*                  ,44,179.55,3670,38.23,136.89
